Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-GARCIA, KAMI",54858717,Beautiful darkness /,29,8/13/2013,,,x,,x,,,,,,,,,,,,,,,,,x
"YA-ABAWI, ATIA",55986129,The secret sky /,10,8/28/2014,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ABAWI, ATIA",70010731,A land of permanent goodbyes /,9,1/30/2018,,x,,,,,x,,,,,,,,,,,,,x,,x
"YA-ABBOTT, TONY",70471990,Junk Boy,0,10/20/2020,,,,,x,,,,x,x,,,x,,,,,,,,,
"YA-ABDEL-FATTAH, RANDA",46381760,Does my head look big in this? /,98,5/25/2007,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ABDEL-FATTAH, RANDA",57968463,The lines we cross /,8,5/24/2017,,x,,,,,x,,,x,,,x,,,,,x,,x,,x
"YA-ACEVEDO, ELIZABETH",65955007,The poet X /,14,3/6/2019,x,,x,,,,x,,,,,,x,,,,,,,,,x
"YA-ACEVEDO, ELIZABETH",70271614,With the fire on high /,17,5/22/2019,x,,x,,,,,,,x,,,x,,,,,,,,,x
"YA-ACEVEDO, ELIZABETH",71716997,Clap when you land /,5,5/6/2020,x,,x,,,,x,,x,x,,,x,,,,,x,,,,x
"YA-ACEVES, FRED",60633245,The closest I've come /,8,11/17/2017,x,,x,,,,,,,x,,,x,,,,,,,,,x
"YA-ACEVES, FRED",70442132,The new David Espinoza /,7,2/13/2020,,,x,,,,,,,,,,,,,x,,,,,,x
"YA-ACOSTA, DANIEL",70192687,Iron river /,2,11/13/2018,,,x,,,,,,,,,,x,,,,,,,,,x
"YA-ADAMS, DOUGLAS",54929161,The restaurant at the end of the universe /,45,11/18/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS",57614174,"So long, and thanks for all the fish",17,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS #1",57612681,The hitchhiker's guide to the galaxy /,39,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS #3",48670152,"Life, the universe, and everything /",45,1/30/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADEYEMI, TOMI",70458633,Children of virtue and vengeance /,4,12/3/2019,x,,,,,,,x,,x,,,,,,,,,,,,x
"YA-ADEYEMI, TOMI #1",70142039,Children of blood and bone /,30,4/6/2018,x,,,,,,,x,,x,,,,,,,,,,,,x
"YA-ADRIAN, EMILY",56978083,Like it never happened /,19,6/3/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHDIEH, RENEE",70272182,The beautiful /,14,10/15/2019,,x,,,x,,,,,x,,,,,,,,,,,,x
"YA-AHDIEH, RENEE",71700769,The damned /,2,8/12/2020,,x,,,x,,,,,x,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #1",57983611,The wrath & the dawn /,22,6/5/2017,,x,,,,,,,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #1",65022956,Flame in the mist /,25,9/6/2017,,x,,,,,,x,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #2",57693699,The rose and the dagger /,24,5/19/2016,,x,,,,,,,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #2",70191465,Smoke in the sun /,12,6/29/2018,,x,,,,,,x,,,,,,,,,,,,,,x
"YA-AHERN, CECELIA #1",65007643,Flawed /,16,7/26/2017,x,,,,x,,,,,,,,,,,,,,,,,
"YA-AHERN, CECELIA #2",65007619,Perfect /,19,7/26/2017,x,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMADI, ARVIN",70263363,Girl gone viral /,12,6/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMADI, ARVIN",70479043,How It All Blew Up,1,9/23/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMED, SAMIRA",70011598,"Love, hate & other filters /",13,1/30/2018,,x,,,,,x,,,,,,,,,,,x,,x,,x
"YA-AHMED, SAMIRA",70244942,Internment /,14,3/21/2019,,x,,,,,x,,,,,,,,,,,x,,x,,x
"YA-AHMED, SAMIRA",71719025,"Mad, bad & dangerous to know /",3,4/18/2020,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ALAMEDA, COURTNEY",70445267,Seven deadly shadows /,5,1/31/2020,,x,,,,,,,,,,,,,,,,,,,,x
"YA-ALBERT, MELISSA",70009618,The Hazel Wood /,20,1/30/2018,,,,,x,,,,,,x,,,,,,,,,,,
"YA-ALBERT, MELISSA",71704829,The night country /,4,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALBERTALLI, BECKY",57739633,Simon vs. the Homo Sapiens agenda /,56,10/15/2015,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-ALBERTALLI, BECKY",70218748,Leah on the offbeat /,26,6/7/2018,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-ALBERTALLI, BECKY",70212956,Simon vs. the Homo Sapiens agenda /,15,8/8/2018,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-ALBERTALLI, BECKY",70197561,What if it's us /,16,10/19/2018,,,x,,x,,,,,,,,,,x,,,,,,,x
"YA-ALBERTALLI, BECKY",65936577,The upside of unrequited /,12,12/27/2018,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-ALENDER, KATIE",56949761,Famous last words /,36,3/7/2016,,,,,x,,,,,x,,,,,,,,,,,,
"YA-ALENDER, KATIE",70481585,The companion /,2,9/23/2020,,,,,x,,,,,,x,,,,,,,,,,,
"YA-ALEXANDER, KWAME",65039133,Solo /,19,8/28/2017,x,,,,,,,,,x,,,,,,,,x,,,,x
"YA-ALEXANDER, KWAME",70197587,Swing /,12,10/19/2018,x,,,,,,,,,x,,,,,,,,,,,,x
"YA-ALEXANDER, SARAH",57622169,The art of not breathing /,18,5/5/2016,,,,,x,,,,,x,,,,,,,,,,,,
"YA-ALEXIE, SHERMAN",70212980,The absolutely true diary of a part-time Indian /,20,8/8/2018,,,,x,,,,,,x,,,x,,,,,,,,,x
"YA-ALI, S. K.",65005431,Saints and misfits /,10,6/15/2017,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ALI, S. K.",70268198,Love from A to Z /,7,5/31/2019,,x,,,x,,,,,,,,,,,,,x,,x,,x
"YA-ALKAF, HANNA",60645454,The weight of our sky /,3,2/11/2019,,x,,,,,,,,,,,,,x,x,,,,,,x
YA-ALL,70218946,All out /,14,6/7/2018,,x,x,,x,,,,x,,,,,,,,,,,,,x
"YA-ALLEN, CARRIE S.",60603685,Michigan vs. the boys /,2,9/3/2020,,,,,x,,,x,,,,,x,,,,,,,,,
"YA-ALLEN, RACHAEL",70441845,The summer of impossibilities : a novel /,0,5/6/2020,,x,,,x,,,x,x,x,,,,,,,x,x,x,x,,
"YA-ALLENDE, ISABEL",42525105,Forest of the Pygmies /,63,5/24/2005,x,,,,,,,,,,,,,,,,,x,,,,
"YA-ALLENDE, ISABEL",53965273,City of the beasts /,23,10/4/2013,x,,,,,,,,,,,,,,,,,x,,,,
"YA-ALLOWAY, KIT #1",56987373,Dreamfire /,22,4/27/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALLOWAY, KIT #2",57669244,Dreamfever /,13,3/1/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALMOND, DAVID",57009185,The tightrope walkers /,19,3/19/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALMOND, DAVID",70276415,The color of the sun /,3,10/4/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALPERT, MARK #1",56947500,The six /,37,7/6/2015,,,,,x,,,,,,,,,x,,,,,,,,
"YA-ALPERT, MARK #2",57938284,The siege /,20,9/27/2016,,,,,x,,,,,,,,,x,,,,,,,,
"YA-ALSAID, ADI",56900426,Never always sometimes /,27,9/22/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALSAID, ADI",58890427,North of happy /,6,5/24/2017,,,x,,,,x,,,,,,,,,,,,,,,x
"YA-ALSAID, ADI",71738447,We didn't ask for this /,0,11/14/2020,x,x,x,,x,,,,x,,,,,,,,,,,,,x
"YA-ALTEBRANDO, TARA",57600488,The leaving /,46,7/1/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALWARD, AMY",57726952,Madly /,30,11/5/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-AN, NA",50404136,A step from heaven /,20,9/2/2010,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-AN, NA",65869828,The place between breaths /,8,7/13/2018,,,,,x,,,,,x,,,,,,x,,,,,,
"YA-ANCRUM, K.",70242201,The weight of the stars /,4,4/4/2019,x,,,,x,,,,x,x,,,x,,,,,,,,,x
"YA-ANDERSON, JODI LYNN",57616278,Tiger Lily /,21,5/17/2016,,,,,,,,,x,,,,,,,,,,,,,
"YA-ANDERSON, JODI LYNN",65039158,Midnight at the Electric /,8,8/28/2017,,,x,,x,,,x,x,x,,,x,,,,,,,,,
"YA-ANDERSON, LAURIE HALSE",48830210,Wintergirls /,103,2/23/2009,,,,,x,,,,,x,,,,,,x,,,,,,
"YA-ANDERSON, LAURIE HALSE",54016373,Prom /,23,6/19/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-ANDERSON, LAURIE HALSE",56007453,Speak /,65,7/29/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-ANDERSON, LAURIE HALSE",57943391,The impossible knife of memory /,26,10/12/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ANDERSON, LAURIE HALSE",65103996,Wintergirls /,5,4/5/2018,,,,,x,,,,,x,,,x,,,x,,,,,,
"YA-ANDERSON, LAURIE HALSE",65954802,Speak /,12,3/6/2019,,,,,,,,,,,,,,,,,,,,,,
"YA-ANDERSON, M. T.",50443035,Feed /,68,6/23/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-ANDERSON, M. T.",65045593,Landscape with invisible hand /,11,9/21/2017,,,,,x,,,,,x,,,x,,,,x,,,,,
"YA-ANDERSON, M. T.",65886186,The assassination of Brangwain Spurge /,15,9/21/2018,,,,,,,,,,,,,,,,,,,,,,
"YA-ANDERSON, M. T. #1",45719788,The Pox party /,107,9/29/2006,x,,,,,,,,,,,,,,,,,,,,,
"YA-ANDERSON, M. T. #2",48339378,The kingdom on the waves /,23,7/14/2008,x,,,,,,,,,,,,,,,,,,,,,
"YA-ANDERSON, NATALIE C.",58982406,City of saints & thieves /,14,2/25/2017,x,,,,,,x,,,x,,,x,,,,,x,,,,
"YA-ANDERSON, NATALIE C.",70246426,Let's go swimming on doomsday /,8,3/20/2019,x,,,,,,x,,,x,,x,x,,,,,x,,,,
"YA-ANDREU, MARIA E.",54860093,The secret side of empty /,18,4/17/2014,,,,,x,,x,,,x,,,x,,,x,,x,,,,
"YA-ANDREWS, JESSE",57633851,The Haters,32,4/8/2016,,x,x,,x,,,,,x,,,x,,,,,,x,,,
"YA-ANDREWS, JESSE",70206669,Munmun /,2,12/4/2018,,,,,,,,,,x,,x,x,,,,,,,,,
"YA-ANDREWS, JESSIE",52333143,Me and Earl and the dying girl /,76,3/20/2012,,,,,x,,,,,,,,,,,,x,,x,,,
"YA-ANGLER, EVAN #1",54077326,Swipe /,68,3/6/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-ANTHONY, JOELLE",49531411,Restoring harmony /,46,6/2/2010,,,,,x,,,,,x,,,x,,,,,,,,,
"YA-APPELT, KATHI",70247952,Angel thieves /,4,3/13/2019,x,,,,x,,,,,,,,,,,,,,,,,
"YA-ARMENTROUT, JENNIFER L.",54042619,Cursed /,27,5/10/2013,,,,,x,,,,,,,,,,,,x,,,,,
"YA-ARMENTROUT, JENNIFER L.",65045262,If there's no tomorrow /,7,9/21/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-ARMISTEAD, CAL",54070511,Being Henry David /,44,3/29/2013,,,,,x,,,,,,,x,,,,,,,,,,
"YA-ARMSTRONG, KELLEY",56909286,The masked truth /,14,10/15/2015,,,,,x,,,,,,,,,x,x,x,,,,,,
"YA-ARMSTRONG, KELLEY",57983389,Missing /,9,5/2/2017,,,,,x,,,,,,,,x,,,,,,,,,
"YA-ARMSTRONG, KELLEY",70221254,Aftermath /,11,5/29/2018,,x,,,x,,,,,,,,,,,x,,x,,x,,
"YA-ARMSTRONG, KELLEY #2",57004517,Empire of night /,25,4/7/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-ARMSTRONG, KELLEY #3",57625428,Forest of ruin /,19,4/29/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-ARNOLD, DAVID",57005936,Mosquitoland /,58,4/1/2015,,,,,x,,,,,,,,,,,x,,,,,,
"YA-ARNOLD, DAVID",57910994,Kids of appetite /,28,9/26/2016,x,,,,x,,x,,,x,,,,x,,,,,,,,
"YA-ARNOLD, DAVID",70221197,The strange fascinations of Noah Hypnotik /,12,5/29/2018,,,x,,x,,,,x,,,,,,,,,,,,,
"YA-ARNOLD, ELANA K.",60624327,What girls are made of /,14,9/26/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-ARNOLD, ELANA K.",70012174,Damsel /,14,10/3/2018,,,,,x,,,x,,,,,,,,,,,,,,
"YA-ARNOLD, ELANA K.",71709182,Red hood /,2,2/25/2020,,,,,x,,,x,,,,,,,,,,,,,,
"YA-ARSENAULT, EMILY",65013336,The leaf reader /,7,6/29/2017,,,,,x,,,,,x,,,,,,,,,,,,
"YA-ARSENAULT, EMILY",71704738,All the pretty things /,2,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-ASEBEDO, MIRANDA",65885840,The deepest roots /,12,9/14/2018,,,x,,x,,,,x,,,,x,,,,,,,,,
"YA-ASHER, JAY",57616120,Thirteen reasons why /,43,5/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ASHER, JAY",57951642,What light /,25,10/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ASLAN, AUSTIN #1",56006489,The islands at the end of the world /,36,8/1/2014,,x,,,x,,,,,,,,,,x,,,,,,,
"YA-ASLAN, AUSTIN #2",65061731,The girl at the center of the world /,5,11/20/2017,,x,,,x,,,,,,,,,,x,,,,,,,
"YA-ATKINS, CATHERINE",52389152,The file on Angelyn Stark /,15,12/21/2011,,,,,x,,,,,x,,,x,,,,,,,,,
"YA-ATTA, DEAN",71714646,The Black Flamingo /,6,5/23/2020,x,,,,,,,x,x,x,,,,,,,,,,,,x
"YA-AUSEON, ANDREW",50442730,Freak magnet /,40,6/29/2010,,x,,,x,,,,,x,,,,,x,,x,,,,,
"YA-AUSTEN, JANE",57625683,Pride and prejudice : a dyslexic-friendly edition /,24,4/25/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-AVERY, LARA",57619918,The memory book /,19,7/18/2016,,,,,x,,,,,,,,,,,,x,,,,,
"YA-AVEYARD, VICTORIA",57018137,Red queen /,77,2/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-AVEYARD, VICTORIA",70213137,Red queen /,27,8/8/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-AVEYARD, VICTORIA #2",65051369,Glass sword /,35,10/19/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-AZAD, NAFIZA",70231980,The candle and the flame /,15,5/13/2019,,x,,,,,,,,,,,,,,,,,,x,x,x
"YA-BABU, CHRIS",65868259,The initiation /,8,8/1/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-BABU, CHRIS #2",65950891,The expedition /,7,2/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-BACIGALUPI, PAOLO",57940538,The doubt factory /,9,9/30/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-BACIGALUPI, PAOLO",65052276,Ship breaker /,27,10/27/2017,,,,,x,,,,,,,,x,,,,,,,,,
"YA-BACIGALUPI, PAOLO #3",65051294,Tool of war /,9,10/18/2017,,,,,x,,,,,,,,x,,,,,,,,,
"YA-BADGER, HILARY",56900319,State of grace /,8,10/28/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BAILEY, EM",65020703,The Special Ones /,15,7/24/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-BAJPAI, NANDINI",70281860,A match made in mehendi /,5,9/10/2019,,x,,,x,,,,x,,,,,,,,,x,,x,,x
"YA-BAKER, CHANDLER",56972870,Alive /,26,6/24/2015,,,,,x,,,,,,,,,,,,x,,,,,
"YA-BALDWIN, KATHLEEN #1",56977606,A school for unusual girls /,27,6/3/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BALDWIN, KATHLEEN #2",57600397,Exile for dreamers /,18,7/1/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-BALLARD, ALEXANDRA",65020554,What I lost /,19,7/24/2017,,,,,x,,,,,,,,,,,x,,,,,,
"YA-BALOG, CYN",70140884,Alone /,4,11/29/2017,,,,,,,,,,,,,,,,,,,,,,
"YA-BANASH, JENNIFER",55906614,Silent alarm /,16,3/5/2015,,,,,x,,,,,x,,,,,,,,,,,,
"YA-BANGHART, TRACY #1",70131750,Grace and fury /,9,7/31/2018,,,,,x,,,x,,,,,,,,,,,,,,
"YA-BANGHART, TRACY #2",70260450,Queen of ruin /,4,8/13/2019,,,,,x,,,x,,,,,,,,,,,,,,
"YA-BANKS, ANNA",56977614,Joyride /,8,6/3/2015,,,x,,,,x,,,x,,,x,,,,,,,,,
"YA-BANNEN, MEGAN",70215975,The bird and the blade /,6,6/15/2018,,x,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH",65039166,Wonder Woman : Warbringer /,23,8/28/2017,x,,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH",70132303,The language of thorns : midnight tales and dangerous magic /,16,1/30/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #1",53153789,Shadow and bone /,115,6/20/2012,,x,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #1",57742785,Six of crows /,68,10/8/2015,,x,,,,,,,x,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #1",70212741,Six of crows /,25,8/8/2018,,x,,,,,,,x,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #1",70247960,King of scars /,19,3/13/2019,,,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #2",54023502,Siege and storm /,85,6/14/2013,,,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #2",71720254,Crooked kingdom /,3,4/18/2020,,,,,,,,,,,,,,,,,,,,,,
"YA-BARDUGO, LEIGH #3",54823521,Ruin and rising /,59,6/19/2014,,,,,,,,,,,,,,,,,,,,,,
"YA-BARKER, MICHELLE",70192661,The house of one thousand eyes /,1,11/13/2018,,,,,x,,,,,,,,,,,x,,,,,,
"YA-BARNABY, HANNAH",57674236,Some of the parts /,23,2/29/2016,,,,,x,,,,,,,,,,,,x,,,,,
"YA-BARNARD, SARA",70132345,A quiet kind of thunder /,10,1/30/2018,x,,,,x,,,,,,,,,x,x,,x,,,,,
"YA-BARNARD, SARA",60643004,"Goodbye, perfect : a novel /",9,2/21/2019,,,,,,,,,,x,x,,,,,,,,,,,
"YA-BARNES, JENNIFER #1",60642949,Little white lies /,9,2/21/2019,,,,,x,,,,,x,,,x,,,,,,,,,
"YA-BARNES, JENNIFER LYNN",56947468,The fixer /,27,7/16/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BARNES, JENNIFER LYNN #1",70483276,The Inheritance Games,2,9/3/2020,,,,,x,,,,,,,,x,,,,,,,,,
"YA-BARNES, JENNIFER LYNN #2",71704761,Deadly little scandals : a Debutante novel /,2,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-BARNES, JENNIFER LYNN #3",57724023,All in /,43,11/9/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BARR, EMILY",57968455,The one memory of Flora Banks /,13,5/25/2017,,,,,x,,,,,,,,,,x,,x,,,,,
"YA-BARRON, RENA",70253737,Kingdom of souls /,7,8/30/2019,x,,,,,,,,,,,,,,,,,,,,,x
"YA-BARROW, REBECCA",70192612,This is what it feels like /,6,11/13/2018,x,,x,,x,,,,x,x,,,,,,,,,,,,x
"YA-BARSON, K. A.",57614224,45 pounds (more or less) /,18,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-BARTLETT, CLAIRE ELIZA",70271622,We rule the night /,7,5/23/2019,x,,,,x,,,x,,,,,,,,,,,,,,
"YA-BARTLETT, CLAIRE ELIZA",71708028,The winter duke /,2,3/3/2020,,,,,x,,,x,x,,,,,,,,,,,,,
"YA-BARTOLETTI, SUSAN",47459748,The boy who dared /,58,3/12/2008,,,,,x,,,,,,,,,,,,,,,,,
"YA-BASHARDOUST, MELISSA",60624285,Girls made of snow and glass /,11,9/26/2017,,x,,,,,,x,x,,,,,,,,,,,,,x
"YA-BASHARDOUST, MELISSA",71700611,"Girl, serpent, thorn /",2,8/12/2020,,x,,,,,,x,x,,,,,,,,,,,,,x
"YA-BASS, KAREN",57951394,The hill /,6,10/17/2016,,,,x,x,,,,,,,,,,,,,,,,,
"YA-BATES, LAURA",71719033,The burning /,2,4/18/2020,,,,,x,,,x,,,,,,,,,,,,,,
"YA-BAUER, JOAN",49354285,Squashed /,47,12/11/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-BAUER, JOAN",49354913,Thwonk /,63,12/11/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-BAUER, JOAN",50848050,Rules of the road /,43,12/28/2010,,,,,x,,,,,x,,,,,,,,,,,,
"YA-BAUER, JOAN",57612509,Hope was here /,15,5/18/2016,,,,,x,,,,,x,,,,,,,,,,,,
"YA-BAUER, JOAN",57614216,Peeled /,13,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-BAYERL, KATIE",58987991,A psalm for lost girls /,13,4/5/2017,,,x,,,,,,,,,,,,,,,,,,,
"YA-BEAM, CRIS",50821792,I am J /,40,3/8/2011,,,x,,x,,,,x,x,,,,,,,,x,x,,,x
"YA-BEAUFRAND, MARY JANE",56983836,The rise and fall of the Gallivanters /,5,5/7/2015,,,,,x,,,,,x,,,,,,,,,,,,
"YA-BELLEZA, RHODA #1",58982786,Empress of a thousand skies /,21,2/25/2017,x,x,,,,,,x,,,,,,,,,,,,,,x
"YA-BELLEZA, RHODA #2",70005202,Blood of a thousand stars /,6,2/20/2018,x,x,,,,,,x,,,,,,,,,,,,,,x
"YA-BENNETT, JENN",57718959,The anatomical shape of a heart /,13,11/18/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BENNETT, JENN",58988155,"Alex, approximately /",12,4/5/2017,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-BENNETT, JENN",70238316,Serious moonlight /,3,4/19/2019,,x,x,,,,,,,,,,,x,,,x,,,,,
"YA-BENWAY, ROBIN",56972748,Emmy & Oliver /,20,6/24/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BENWAY, ROBIN",67173799,Far from the tree /,4,3/26/2020,,,x,,x,,,,x,x,x,,,,,,,,,,,
"YA-BENWELL, SARAH",56978117,The last leaves falling /,13,6/2/2015,,x,,,,,,,,,,,,,,,x,,,,,
"YA-BERGIN, VIRGINIA",65994592,The XY /,9,6/21/2019,,,,,x,,,x,,,,,,,,,,,,,,
"YA-BERKHOUT, NINA",70140892,The mosaic /,2,11/29/2017,,,,,x,,,,,,,,,,,x,,,,,,
"YA-BERQUIST, EMMA",70225370,Devils unto dust /,9,5/7/2018,,,,,x,,,x,,,,,,,,,,,,,,
"YA-BERRY, JULIE",57627614,The passion of Dolssa /,24,4/20/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-BERRY, JULIE",70242243,Lovely War /,3,4/2/2019,x,,,,x,,,x,,,,,,,,,,,,,,
"YA-BERRY, NINA",56978562,The notorious Pagan Jones /,5,5/26/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BERUBE, AMELINDA",70017488,The dark beneath the ice /,1,9/7/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-BETTS, A. J.",55986657,Zac & Mia /,36,9/4/2014,,,,,x,,,,,,,,,,,,x,,,,,
"YA-BHATHENA, TANAZ",70150982,A girl like that /,10,2/27/2018,,x,,,,,,x,,,,,,,,,,x,,,x,x
"YA-BHATHENA, TANAZ",70246418,The beauty of the moment /,1,3/20/2019,,x,,,,,x,,,x,,,,,,,,x,,,,x
"YA-BIREN, SARA",57968570,The last thing you said /,13,5/25/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-BIREN, SARA",60582491,Cold day in the sun /,6,3/18/2019,,,,,x,,,x,,,,,,,,,,,,,,
YA-BLACK,60649936,Black enough : stories of being young & black in America /,13,1/17/2019,x,,,,,,x,,x,,,,,,,,,,,,,x
"YA-BLACK, HOLLY",55914717,The darkest part of the forest /,53,1/14/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLACK, HOLLY",65950677,The coldest girl in Coldtown /,3,2/15/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLACK, HOLLY",70456439,The queen of nothing /,8,12/12/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-BLACK, HOLLY #1",70134507,The cruel prince /,36,1/4/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-BLACK, HOLLY #2",70202643,The wicked king /,20,1/9/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-BLACKBURNE, LIVIA #1",56975220,Midnight thief /,30,6/15/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLACKBURNE, LIVIA #1",70132337,Rosemarked /,17,1/30/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-BLACKBURNE, LIVIA #2",57727042,Daughter of dusk /,17,11/4/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLAIR, KATHARYN",70288840,The beckoning shadow /,5,7/5/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLAKE, ASHLEY HERRING",57600546,Suffer love /,18,7/1/2016,,,,,x,,,,,x,,,,,,,,,,,,
"YA-BLAKE, ASHLEY HERRING",70222575,Girl made of stars /,9,5/29/2018,,x,,,x,,,x,x,x,,,,,,x,,,,,,
"YA-BLAKE, ELLY",58001553,Frostblood /,33,2/9/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLAKE, ELLY #2",65045247,Fireblood /,26,9/21/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLAKE, JILLIAN",57968257,Antisocial /,15,5/24/2017,,,x,,x,,,,,,,,,,,,,,,,,
"YA-BLAKE, KENDARE",56896988,Ungodly /,20,10/2/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLAKE, KENDARE",57910812,Three dark crowns /,41,9/26/2016,x,,,,,,,,,,,,,,,,,,,,,
"YA-BLAKE, KENDARE",65968968,Five dark fates /,10,9/16/2019,x,,,,,,,,,,,,,,,,,,,,,
"YA-BLAKE, KENDARE",65969008,Two dark reigns /,6,9/16/2019,x,,,,,,,,,,,,,,,,,,,,,
"YA-BLAKE, KENDARE #2",65045700,One dark throne /,26,9/27/2017,x,,,,,,,,,,,,,,,,,,,,,
"YA-BLANK, JESSICA",70152996,Legacy /,8,8/8/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-BLISS, BRYAN",57673113,Meet me here /,7,6/9/2016,,,,,x,,,,,x,,,,,,x,,,,,,
