Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-STOLTZ, ADRIENNE",53175212,Lucid /,27,1/3/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-STONE, JULIANA",56977275,Some kind of normal /,14,6/8/2015,,,,,x,,,,,,,,,x,x,,x,,,,,
"YA-STONE, NIC",65034134,Dear Martin /,24,10/26/2017,x,,,,,,,,,,,,,,,,,,,,,x
"YA-STONE, NIC",70201389,Odd one out /,9,10/10/2018,x,x,x,,,,,,x,,,,,,,,,,,,,x
"YA-STONE, NIC",70470422,Jackpot /,7,10/17/2019,x,,x,,,,,,,,,,x,,,,,,,,,x
"YA-STONE, NIC",70475462,Dear Justyce /,1,10/12/2020,x,,,,,,,,,,,,,,,,,,,,,x
"YA-STONE, PETER",70206602,The perfect candidate /,5,12/4/2018,,,x,,x,,,,,,,,,,,,,,,,,
"YA-STONE, TAMARA IRELAND",70191408,Little do we know /,5,6/29/2018,,,,,x,,,,,,,,,,,,,x,,,,x
"YA-STORK, FRANCISCO X.",48967277,Marcelo in the real world /,63,3/23/2009,,,x,,,,,,,,,,,x,x,,,,,,,x
"YA-STORK, FRANCISCO X.",65051336,Disappeared /,20,10/18/2017,,,x,,,,,,,,,,,,,,,,,,,x
"YA-STORK, FRANCISCO X.",70212816,The memory of light /,1,8/8/2018,,,x,,,,,,,,,,,,x,x,x,,,,,x
"YA-STORK, FRANCISCO X. #2",70481643,"Illegal: a disappeared novel, volume 2.",0,9/23/2020,,,x,,,,,,,,,,,,,,,,,,,x
"YA-STOUT, SHAWN K.",57675787,A tiny piece of sky /,24,2/11/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-STRASNICK, LAUREN",53063210,Then you were gone /,14,1/16/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-STRASSER, TODD",50836857,Famous /,28,2/9/2011,,,,,x,,,,,,,,,,,,,,,,,
"YA-STRASSER, TODD",54904727,No place /,39,1/24/2014,,,,,x,,,,,,,,x,,,,,,,,,
"YA-STRASSER, TODD",56909187,The beast of Cretacea /,16,10/15/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-STRASSER, TODD",70276498,Summer of '69 /,5,10/4/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-STRICKLAND, A. M.",70468095,Beyond the black door /,6,10/31/2019,,,,,,,,,x,,,,,,,,,,,,,x
"YA-STROHM, STEPHANIE KATE",70206636,Love à  la mode /,14,12/4/2018,,x,,,,,,,,,,,,,,,,,,,,
"YA-SUGIURA, MISA",70266564,This time will be different /,4,6/4/2019,,x,,,,,,,x,,,,,,,,,x,,,,x
"YA-SULLIVAN, DEREK E.",55908966,Biggie /,12,2/25/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-SULLIVAN, TARA",57665309,The bitter side of sweet /,12,2/29/2016,x,,,,,,,,,x,,,x,,,,,,,,,
"YA-SUMA, NOVA REN",57005480,The walls around us /,23,4/2/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUMA, NOVA REN",70017512,A room away from the wolves /,2,9/7/2018,,,,,x,,,,,,,,,,,,,,x,,,
YA-SUMMER,57694028,Summer days and summer nights : twelve love stories /,23,5/19/2016,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-SUMMERILL, ERIN #1",57966814,Ever the hunted /,17,12/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUMMERILL, ERIN #2",70138409,Ever the brave /,21,12/13/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUMMERILL, ERIN #2",70247911,Once a king /,5,3/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUMMERS, COURTNEY",56978612,All the rage /,12,5/26/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUMMERS, COURTNEY",70017462,Sadie /,17,9/7/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUNDQUIST, JOSH",58011974,Love and f1rst sight /,24,1/4/2017,,,,,x,,,,,,,,,x,,,,,,,,
"YA-SURMELIS, ANGELO",70008404,The dangerous art of blending in : a novel /,9,2/2/2018,,,,,x,,,,x,x,,,,,,,,,,,,
"YA-SUSSMAN, ELISSA",55972061,Stray /,21,10/20/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUTCLIFFE, WILLIAM",71738512,"The Gifted, the Talented, and Me",0,11/14/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUTHERLAND, KRYSTAL",57944118,Our chemical hearts /,17,10/11/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUTHERLAND, KRYSTAL",65022576,A semi-definitive list of worst nightmares /,13,9/6/2017,,,,,x,,,,,,,,,,x,,,,,,,
"YA-SUVADA, EMILY #1",60633252,This mortal coil /,19,11/17/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-SUVADA, EMILY #2",70206644,This cruel design /,20,12/4/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-SYLVESTER, NATALIA",71700777,Running,1,8/13/2020,,,x,,,,,,x,,,,,,,,,,,,,x
"YA-TAHIR, SABAA",57921025,A torch against the night /,36,8/30/2016,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-TAHIR, SABAA",65020711,An ember in the ashes /,27,7/24/2017,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-TAHIR, SABAA",70212493,An ember in the ashes /,12,8/8/2018,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-TAHIR, SABAA #3",70191440,A reaper at the gates /,26,6/29/2018,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-TAKAOKA, SHANNON",70472501,Everything I thought I knew /,0,10/26/2020,,x,,,x,,,,,,,,,,,,x,,,,,x
YA-TAKE,70466933,Take the mic : fictional stories of everyday resistance /,8,11/4/2019,x,x,x,x,,,x,,,,,,,x,,,,,x,x,,x
YA-TAKING,57726945,"Taking aim : power and pain, teens and guns /",15,11/5/2015,x,,,,x,,,,,,,,,,,,,,,,,x
"YA-TALLEY, ROBIN",55979991,Lies we tell ourselves /,16,9/26/2014,x,,,,x,,,,x,,,,,,,,,,,,,x
"YA-TALLEY, ROBIN",57937971,As I descended /,6,9/27/2016,,,x,,x,,,,x,,,,,,,,,,,,,x
"YA-TALLEY, ROBIN",70193180,Pulp /,6,11/13/2018,x,x,,,x,,,,x,,,,,,,,,x,x,,,x
"YA-TALLEY, ROBIN",71720304,Music from another world /,0,4/18/2020,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-TAMAKI, MARIKO",57625055,Saving Montgomery Sole /,5,4/29/2016,,x,,,,,,,x,,,,,,,,,,,,,x
"YA-TAMANI, LIARA",65992729,Calling my name /,4,7/26/2019,x,,,,,,,,,,,,,,,,,x,,,,x
"YA-TAN, SHAUN",57681249,Tales from outer suburbia /,6,2/8/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-TANG, ANDREA",71709315,Rebelwing /,3,2/25/2020,,x,x,,,,,,x,,,,,,,,,,,,,x
"YA-TASH, SARVENAZ",57600801,The geek's guide to unrequited love /,13,7/1/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-TASH, SARVENAZ",70283924,Virtually yours /,2,7/30/2019,x,,x,,,,,,x,,,,,,,,,x,,x,,x
"YA-TAVENGERWEI, RUTENDO",70281167,Hope is our only wing /,2,9/13/2019,x,,,,,,,,,,,,,,,,,,,,,x
"YA-TAYLOR, BILLY",57937997,Thieving weasels /,11,9/26/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-TAYLOR, JESSICA",57967374,Wandering wild /,10,6/22/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-TAYLOR, JESSICA",65039018,A map for wrecked girls /,6,8/28/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-TAYLOR, LAINI",58993312,Strange the dreamer /,20,3/28/2017,,x,,,,,,,,,,,,,,,,,,,,
"YA-TAYLOR, LAINI #2",70014733,Muse of nightmares /,18,9/21/2018,,x,,,,,,,,,,,,,,,,,,,,
"YA-TEERDHALA, SWATI #1",70235999,The tiger at midnight /,6,5/3/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-TERRILL, CRISTIN",54953757,All our yesterdays /,24,10/16/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-TERRY, TERI",65051302,The Book of Lies /,12,10/18/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-THOMAS, AIDEN",70482716,Cemetery boys /,2,9/17/2020,,,x,,,,,,x,,,,,,,,,,,,,x
"YA-THOMAS, ANGIE",57994592,The hate u give /,49,3/8/2017,x,,,,,,,,,,,,,,,,,,,,,x
"YA-THOMAS, ANGIE",70248000,On the come up /,16,3/12/2019,x,,,,,,,,,x,,,,,,,,,,,,x
"YA-THOMAS, JAMIE",67216515,Asperfell /,0,9/30/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-THOMAS, KARA",70155726,The cheerleaders /,15,7/26/2018,,,,,x,,,,,,,,,,,,,,,,,
